batch,score,loss,loss_v
714,-50,-8.998779,517.9132
715,-44,-5.1260095,502.2472
716,-42,-5.230271,492.21585
717,-44,-4.899818,387.6542
718,-50,-8.783563,517.6323
719,-50,-7.0944147,517.822
720,-46,-3.3621309,509.7183
721,-50,-7.5122757,517.2387
722,-32,-1.6092408,147.48708
723,-50,-1.0508292,517.5681
724,-50,-8.283611,517.10815
725,-48,-6.614992,514.5871
726,-50,-7.9228,516.9488
727,-40,-2.5155957,479.39438
728,-50,-6.770247,516.8695
729,-34,-0.9660111,175.66206
730,-34,-1.7445402,175.64027
731,-50,-9.990755,516.6793
732,-12,-0.06906535,33.467697
733,-44,-1.8019135,383.27264
734,-48,-2.0684052,514.13666
735,-50,-0.7531633,516.7078
736,-40,-6.7133822,478.81985
737,-42,-4.3691797,356.1147
738,-44,-6.1401916,500.49866
739,-34,-2.9972727,432.76782
740,-50,-4.4257975,516.0143
741,-50,-10.496847,516.0588
742,-48,-3.5686288,513.64307
743,-50,-2.4029408,515.82874
744,-50,-2.3012145,515.59015
745,-42,-3.5985599,345.9734
746,-34,-2.5852137,169.1901
747,-50,-3.7310266,515.73157
748,-36,-1.0217801,243.23103
749,-44,-3.668039,353.39392
750,-42,-4.3573966,355.28555
751,-50,-0.65542865,515.5666
752,-50,-5.9346776,515.0494
753,-50,-1.9740776,515.64594
754,-36,-6.7810407,448.09277
755,-40,-5.1895504,477.16696
756,-44,-3.0367458,385.70288
757,-22,-0.8739532,70.73661
758,-50,-6.312861,514.8286
759,-50,-5.578164,514.72577
760,-36,-2.0341198,447.92966
761,-46,-3.337677,506.8344
762,-30,-1.6642594,124.583145
763,-20,-6.0061398,294.56262
764,-42,-3.8562508,305.9641
765,-50,-7.219493,514.3153
766,-50,-6.7369423,514.2442
767,-44,-1.3278363,353.0986
768,-46,-1.6705849,421.39783
769,-50,-5.0281205,513.99664
770,-36,-2.8588097,447.425
771,-50,-3.4049864,514.1371
772,-38,-1.7505846,462.587
773,-50,-6.4261174,513.73315
774,-32,-3.9908817,412.76245
775,-38,-4.4246716,462.28113
776,-44,-2.9852724,497.96948
777,-50,-3.9325714,513.5821
778,-34,-3.2816765,197.16112
779,-50,-2.8055997,513.3587
780,-16,-3.2192268,253.6376
781,-30,-1.6803248,153.2068
782,-40,-2.7529147,266.6117
783,-44,-4.45541,497.3683
784,-50,-2.5406153,512.8354
785,-50,-0.50298274,513.19653
786,-50,-5.9492188,512.71826
787,-50,-4.4978104,512.7859
788,-40,-3.3150046,475.12628
789,-50,-1.8878332,512.50757
790,-38,-3.2925582,226.6571
791,-44,-0.48789638,496.81583
792,-48,-0.9069254,465.4792
793,-42,-0.6172711,343.28598
794,-38,-1.7595096,231.36652
795,-50,-4.1138883,512.27795
796,-50,-3.3866491,512.3766
797,-50,-10.015034,512.01
798,-46,-3.496951,504.26242
799,-44,-2.119729,496.24265
800,-38,-4.611491,460.58472
801,-50,-2.547775,511.94025
802,-36,-6.3201437,445.1345
803,-46,-0.430879,503.66388
804,-32,-1.48275,152.69691
805,-46,-2.043465,503.55075
806,-50,-6.574315,511.50345
807,-24,-1.5554812,80.624725
808,-50,-6.1625233,511.2847
809,-38,-1.308243,227.04927
810,-50,-4.342364,511.05148
811,-50,-5.1180077,511.15036
812,-44,-5.22209,495.46802
813,-24,-0.30111516,97.98937
814,-50,-3.231229,510.79895
815,-50,-2.2058704,511.0046
816,-50,-2.355835,510.92346
817,-36,-1.8602207,240.00656
818,-40,-3.674314,473.25345
819,-24,-0.88345265,86.1483
820,-40,-3.4825141,262.47217
821,-50,-5.5875635,510.44012
822,-30,-3.0489087,391.45773
823,-36,-0.6812406,246.65192
824,-50,-0.3851413,510.72034
825,-50,-4.356038,510.08337
826,-36,-1.175995,197.55348
827,-50,-5.5089273,510.01382
828,-50,-4.975942,509.91193
829,-48,-0.4263532,464.5685
830,-32,-0.8970924,156.812
831,-50,-2.2677062,509.94736
832,-32,-0.22751068,178.54732
833,-36,-2.0015624,195.01234
834,-46,-3.5971625,419.96063
835,-50,-2.4091046,509.469
836,-48,-3.4959097,451.11932
837,-30,-1.594898,138.55963
838,-50,-3.3802578,509.2058
839,-24,-1.8890653,331.3672
840,-50,-7.903343,509.22015
841,-26,-0.41335332,107.3024
842,-50,-5.1392946,509.14847
843,-46,-2.0288165,501.28476
844,-30,-0.5518803,390.24063
845,-50,-4.646563,508.94086
846,-50,-4.430094,508.9117
847,-50,-2.3811188,508.6472
848,-40,-2.5915043,471.35956
849,-48,-3.3557773,450.3686
850,-12,0.060653742,34.55259
